"filename", "language", "JSON", "JavaScript JSX", "PostCSS", "XML", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\rajne\OneDrive\Desktop\All Projects\Zidio Projects\excel-analytics-app\backend\config\db.js", "JavaScript JSX", 0, 14, 0, 0, 0, 0, 0, 4, 18
"c:\Users\rajne\OneDrive\Desktop\All Projects\Zidio Projects\excel-analytics-app\backend\controllers\authController.js", "JavaScript JSX", 0, 160, 0, 0, 0, 0, 5, 33, 198
"c:\Users\rajne\OneDrive\Desktop\All Projects\Zidio Projects\excel-analytics-app\backend\controllers\fileController.js", "JavaScript JSX", 0, 65, 0, 0, 0, 0, 1, 12, 78
"c:\Users\rajne\OneDrive\Desktop\All Projects\Zidio Projects\excel-analytics-app\backend\middleware\verifyToken.js", "JavaScript JSX", 0, 20, 0, 0, 0, 0, 3, 8, 31
"c:\Users\rajne\OneDrive\Desktop\All Projects\Zidio Projects\excel-analytics-app\backend\models\File.js", "JavaScript JSX", 0, 17, 0, 0, 0, 0, 0, 4, 21
"c:\Users\rajne\OneDrive\Desktop\All Projects\Zidio Projects\excel-analytics-app\backend\models\user.js", "JavaScript JSX", 0, 17, 0, 0, 0, 0, 0, 3, 20
"c:\Users\rajne\OneDrive\Desktop\All Projects\Zidio Projects\excel-analytics-app\backend\package-lock.json", "JSON", 1865, 0, 0, 0, 0, 0, 0, 1, 1866
"c:\Users\rajne\OneDrive\Desktop\All Projects\Zidio Projects\excel-analytics-app\backend\package.json", "JSON", 31, 0, 0, 0, 0, 0, 0, 1, 32
"c:\Users\rajne\OneDrive\Desktop\All Projects\Zidio Projects\excel-analytics-app\backend\routes\authroutes.js", "JavaScript JSX", 0, 11, 0, 0, 0, 0, 2, 3, 16
"c:\Users\rajne\OneDrive\Desktop\All Projects\Zidio Projects\excel-analytics-app\backend\routes\fileRoutes.js", "JavaScript JSX", 0, 107, 0, 0, 0, 0, 9, 21, 137
"c:\Users\rajne\OneDrive\Desktop\All Projects\Zidio Projects\excel-analytics-app\backend\routes\userRoutes.js", "JavaScript JSX", 0, 216, 0, 0, 0, 0, 44, 45, 305
"c:\Users\rajne\OneDrive\Desktop\All Projects\Zidio Projects\excel-analytics-app\backend\server.js", "JavaScript JSX", 0, 182, 0, 0, 0, 0, 10, 42, 234
"c:\Users\rajne\OneDrive\Desktop\All Projects\Zidio Projects\excel-analytics-app\my-excel-analytics-app\README.md", "Markdown", 0, 0, 0, 0, 38, 0, 0, 33, 71
"c:\Users\rajne\OneDrive\Desktop\All Projects\Zidio Projects\excel-analytics-app\my-excel-analytics-app\package-lock.json", "JSON", 20345, 0, 0, 0, 0, 0, 0, 1, 20346
"c:\Users\rajne\OneDrive\Desktop\All Projects\Zidio Projects\excel-analytics-app\my-excel-analytics-app\package.json", "JSON", 58, 0, 0, 0, 0, 0, 0, 1, 59
"c:\Users\rajne\OneDrive\Desktop\All Projects\Zidio Projects\excel-analytics-app\my-excel-analytics-app\postcss.config.js", "JavaScript JSX", 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\rajne\OneDrive\Desktop\All Projects\Zidio Projects\excel-analytics-app\my-excel-analytics-app\public\index.html", "HTML", 0, 0, 0, 0, 0, 21, 23, 1, 45
"c:\Users\rajne\OneDrive\Desktop\All Projects\Zidio Projects\excel-analytics-app\my-excel-analytics-app\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\rajne\OneDrive\Desktop\All Projects\Zidio Projects\excel-analytics-app\my-excel-analytics-app\public\site.webmanifest", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\rajne\OneDrive\Desktop\All Projects\Zidio Projects\excel-analytics-app\my-excel-analytics-app\src\AboutUsPage.js", "JavaScript JSX", 0, 299, 0, 0, 0, 0, 11, 19, 329
"c:\Users\rajne\OneDrive\Desktop\All Projects\Zidio Projects\excel-analytics-app\my-excel-analytics-app\src\AdminDashboard.js", "JavaScript JSX", 0, 212, 0, 0, 0, 0, 12, 17, 241
"c:\Users\rajne\OneDrive\Desktop\All Projects\Zidio Projects\excel-analytics-app\my-excel-analytics-app\src\App.css", "PostCSS", 0, 0, 33, 0, 0, 0, 0, 6, 39
"c:\Users\rajne\OneDrive\Desktop\All Projects\Zidio Projects\excel-analytics-app\my-excel-analytics-app\src\App.js", "JavaScript JSX", 0, 60, 0, 0, 0, 0, 1, 8, 69
"c:\Users\rajne\OneDrive\Desktop\All Projects\Zidio Projects\excel-analytics-app\my-excel-analytics-app\src\App.test.js", "JavaScript JSX", 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\rajne\OneDrive\Desktop\All Projects\Zidio Projects\excel-analytics-app\my-excel-analytics-app\src\BlogPage.js", "JavaScript JSX", 0, 209, 0, 0, 0, 0, 5, 14, 228
"c:\Users\rajne\OneDrive\Desktop\All Projects\Zidio Projects\excel-analytics-app\my-excel-analytics-app\src\CareersPage.js", "JavaScript JSX", 0, 213, 0, 0, 0, 0, 4, 13, 230
"c:\Users\rajne\OneDrive\Desktop\All Projects\Zidio Projects\excel-analytics-app\my-excel-analytics-app\src\ContactUsPage.js", "JavaScript JSX", 0, 285, 0, 0, 0, 0, 5, 14, 304
"c:\Users\rajne\OneDrive\Desktop\All Projects\Zidio Projects\excel-analytics-app\my-excel-analytics-app\src\DisclaimerPage.js", "JavaScript JSX", 0, 166, 0, 0, 0, 0, 2, 15, 183
"c:\Users\rajne\OneDrive\Desktop\All Projects\Zidio Projects\excel-analytics-app\my-excel-analytics-app\src\FeaturesPage.js", "JavaScript JSX", 0, 274, 0, 0, 0, 0, 10, 16, 300
"c:\Users\rajne\OneDrive\Desktop\All Projects\Zidio Projects\excel-analytics-app\my-excel-analytics-app\src\Footer.js", "JavaScript JSX", 0, 213, 0, 0, 0, 0, 4, 5, 222
"c:\Users\rajne\OneDrive\Desktop\All Projects\Zidio Projects\excel-analytics-app\my-excel-analytics-app\src\LandingPage.js", "JavaScript JSX", 0, 609, 0, 0, 0, 0, 32, 28, 669
"c:\Users\rajne\OneDrive\Desktop\All Projects\Zidio Projects\excel-analytics-app\my-excel-analytics-app\src\LoginPage.js", "JavaScript JSX", 0, 270, 0, 0, 0, 0, 10, 27, 307
"c:\Users\rajne\OneDrive\Desktop\All Projects\Zidio Projects\excel-analytics-app\my-excel-analytics-app\src\LogoutButton.js", "JavaScript JSX", 0, 19, 0, 0, 0, 0, 0, 4, 23
"c:\Users\rajne\OneDrive\Desktop\All Projects\Zidio Projects\excel-analytics-app\my-excel-analytics-app\src\PricingPage.js", "JavaScript JSX", 0, 290, 0, 0, 0, 0, 7, 15, 312
"c:\Users\rajne\OneDrive\Desktop\All Projects\Zidio Projects\excel-analytics-app\my-excel-analytics-app\src\PrivacyPolicyPage.js", "JavaScript JSX", 0, 201, 0, 0, 0, 0, 2, 16, 219
"c:\Users\rajne\OneDrive\Desktop\All Projects\Zidio Projects\excel-analytics-app\my-excel-analytics-app\src\PrivateRoute.js", "JavaScript JSX", 0, 7, 0, 0, 0, 0, 2, 3, 12
"c:\Users\rajne\OneDrive\Desktop\All Projects\Zidio Projects\excel-analytics-app\my-excel-analytics-app\src\RegistrationPage.js", "JavaScript JSX", 0, 268, 0, 0, 0, 0, 12, 21, 301
"c:\Users\rajne\OneDrive\Desktop\All Projects\Zidio Projects\excel-analytics-app\my-excel-analytics-app\src\ResetPasswordPage.js", "JavaScript JSX", 0, 104, 0, 0, 0, 0, 0, 13, 117
"c:\Users\rajne\OneDrive\Desktop\All Projects\Zidio Projects\excel-analytics-app\my-excel-analytics-app\src\SuperAdminDashboard.js", "JavaScript JSX", 0, 1048, 0, 0, 0, 0, 7, 76, 1131
"c:\Users\rajne\OneDrive\Desktop\All Projects\Zidio Projects\excel-analytics-app\my-excel-analytics-app\src\TermsOfServicePage.js", "JavaScript JSX", 0, 211, 0, 0, 0, 0, 2, 19, 232
"c:\Users\rajne\OneDrive\Desktop\All Projects\Zidio Projects\excel-analytics-app\my-excel-analytics-app\src\Testimonials.js", "JavaScript JSX", 0, 292, 0, 0, 0, 0, 9, 19, 320
"c:\Users\rajne\OneDrive\Desktop\All Projects\Zidio Projects\excel-analytics-app\my-excel-analytics-app\src\UserDashboard.js", "JavaScript JSX", 0, 827, 0, 0, 0, 0, 23, 48, 898
"c:\Users\rajne\OneDrive\Desktop\All Projects\Zidio Projects\excel-analytics-app\my-excel-analytics-app\src\contexts\DarkModeContext.js", "JavaScript JSX", 0, 29, 0, 0, 0, 0, 0, 5, 34
"c:\Users\rajne\OneDrive\Desktop\All Projects\Zidio Projects\excel-analytics-app\my-excel-analytics-app\src\index.css", "PostCSS", 0, 0, 17, 0, 0, 0, 0, 3, 20
"c:\Users\rajne\OneDrive\Desktop\All Projects\Zidio Projects\excel-analytics-app\my-excel-analytics-app\src\index.js", "JavaScript JSX", 0, 18, 0, 0, 0, 0, 2, 3, 23
"c:\Users\rajne\OneDrive\Desktop\All Projects\Zidio Projects\excel-analytics-app\my-excel-analytics-app\src\logo.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rajne\OneDrive\Desktop\All Projects\Zidio Projects\excel-analytics-app\my-excel-analytics-app\src\reportWebVitals.js", "JavaScript JSX", 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\rajne\OneDrive\Desktop\All Projects\Zidio Projects\excel-analytics-app\my-excel-analytics-app\src\setupTests.js", "JavaScript JSX", 0, 1, 0, 0, 0, 0, 4, 1, 6
"c:\Users\rajne\OneDrive\Desktop\All Projects\Zidio Projects\excel-analytics-app\my-excel-analytics-app\src\utils\api.js", "JavaScript JSX", 0, 6, 0, 0, 0, 0, 0, 3, 9
"c:\Users\rajne\OneDrive\Desktop\All Projects\Zidio Projects\excel-analytics-app\my-excel-analytics-app\tailwind.config.js", "JavaScript JSX", 0, 18, 0, 0, 0, 0, 0, 1, 19
"c:\Users\rajne\OneDrive\Desktop\All Projects\Zidio Projects\excel-analytics-app\package-lock.json", "JSON", 619, 0, 0, 0, 0, 0, 0, 1, 620
"c:\Users\rajne\OneDrive\Desktop\All Projects\Zidio Projects\excel-analytics-app\package.json", "JSON", 16, 0, 0, 0, 0, 0, 0, 1, 17
"Total", "-", 22960, 6983, 50, 1, 38, 21, 263, 653, 30969